Denominação,Outro nome,NIF,Doc ID,Capital Social,Número de Acções/Quotas,Valor Nominal,Natureza,Objecto,CAE,CAE Secundário 1,CAE Secundário 2,CAE Secundário 3,Facto,Data do facto (publicação),Valor do Facto,Modalidade e forma de subscrição:,,Categorias,Ordinárias,Categoria A,Categoria B,Categoria C,Classe A1,Classe B1,Preferenciais,Classe D,Classe E,Classe F,Classe G,Classe H,Classe I,Classe J,Classe K,Classe L,Acções preferenciais sem voto,Classe Promotor,Emissão de Valores Mobiliarios (Montante),Valores Mobiliários Valor nominal/Preço de Exercício,Activo Subjacente,N.º de Valores a emitir
BIOSURFIT S.A.,,507503031,2,180000,180000,1,Categorias: As de CATEGORIA A conferem o direito ao dobro do dividendo das acções ordinárias nos termos constantes do arto 5o do contrato de sociedade e as de CATEGORIA B não conferem direito a dividendos. As acções de categoria A e B podem ser convertidas em acções ordinárias acções de categoria A e B podem ser convertidas em acções ordinárias,,,,,,Aumento,09/01/2007,10150,"Integralmente realizado em numerário coom a emissão de mais 10.150 acções, subscritas pela accionista "" Fundo de Sindicação de Capital de Risco PME­IAPMEI"" abreviadamente designado por ""FSCR PME­IAPMEI"".",,,,,,,,,,,,,,,,,,,,,,,,
BIOSURFIT S.A.,,507503031,3,530000,530000,1,,,,,,,Aumento,31/01/2007,350000,"Realizado integralmente por entradas em numerário e subscrito por todos os accionistas de forma não proporcional com valor corresponde ao valor das seguintes novas acções emitidas: ­ ""Fundo de Capital de Risco para Investidores Qualificados PME Investimentos ­ TIEC, 76.856 novas acções ordinárias; ­ ""Fundo de Capital de Risco Para Investidores Qualificados Beta ­Early Stages"", 73.433 novas acções ordinárias; ­ ""Fundo de Sindicação de Capital de Risco PME-IAPMEI"", 70.011 novas acções ordinárias; ­ Luís Miguel Gonçalves Lopes, 21.617 novas acções da Categoria A; ­ João Manuel de Oliveira Garcia da Fonseca, 7.293 novas acções da Categoria A; ­ Nuno José Gonçalves Louro, 8.647 de novas acções da Categoria A; ­Ana Isabel dos Santos Dias Garcia da Fonseca, 8.647 novas acções da Categoria A; ­ Sandro Miguel Pinto Bordeira, 4.323 novas acções da Categoria A; ­ Hugo Miguel Fernandes Ramos, 4.323 novas acções da Categoria A ­ ""Fundo de Sindicação de Capital de Risco PME­IAPMEI"", 64.850 novas acções da Categoria B.",,,,,,,,,,,,,,,,,,,,,,,,
BIOSURFIT S.A.,,507503031,4,1330000,1330000,1,,,,,,,Aumento,07/10/2009,800000,realizado por conversão de suprimentos pelos accionistas,,N,,,,,10150,10150,,,,,,,,,,,,,,,,
BIOSURFIT S.A.,,507503031,"5, 6",1428883,1428883,1,,,,,,,Aumento e Alteração,27/04/2010,98883,"19.500,00 euros em suprimentos e 79.383,00 euros em dinheiro",,N,,,,,75000,75000,,,,,,,,,,,,,,,,
BIOSURFIT S.A.,,507503031,7,1508266,1508266,1,,,,,,,Aumento,21/03/2011,79383,dinheiro,,N,,,,,75000,75000,,,,,,,,,,,,,,,,
BIOSURFIT S.A.,,507503031,8,1428883,1428883,1,,,,,,,Aumento e Alteração,27/04/2010,98883,"19.500,00 euros em suprimentos e 79.383,00 euros em dinheiro",,N,,,,,75000,75000,,,,,,,,,,,,,,,,
BIOSURFIT S.A.,,507503031,9,1687982,1687982,1,,,,,,,Aumento e Alteração,06/03/2012,100335,"em dinheiro por 2 novos acionistas e por um dos atuais acionistas, mediante a emissão de 100.335 novas ações preferenciais sem voto",,Y,,,,,75000,75000,100335,,,,,,,,,,,,,,,
BIOSURFIT S.A.,,507503031,10,2118851,2118851,1,,,,,,,Aumento e Alteração,29/08/2013,430869,"em espécie por accionistas e corresponde à emissão de 103.385 novas acções da categoria B, 31.503 da categoria D, 264.744 da categoria E e 31.237 da categoria F, com o valor nominal de 1,00 euro",,Y,,,103385,,,,,31503,264744,31237,,,,,,,,,,,,
BIOSURFIT S.A.,,507503031,11,2549668,2549668,1,,,,,,,Aumento,29/08/2013,430817,conversão de suprimentos de uma accionista e corresponde à emissão de 99.270 novas acções da categoria B e 331.547 da categoria C,,Y,150000,1180000,362525,331547,,,,61271,413586,19500,0,0,0,0,0,0,,,,,,
BIOSURFIT S.A.,,507503031,14,6568099,6568099,1,,,,,,,Aumento,26/12/2013,4018431,incorporação de reservas legais,,Y,150000,1180000,362525,1681687,,,,96393,748129,77539,975985,224506,474719,161933,148499,286184,,,,,,
BIOSURFIT S.A.,,507503031,15,6663623,6663623,1,,,,,,,Aumento ,03/01/2014,95524,"Realizado em dinheiro, com a emissão de 95524 novas acções da categoria C, subscrita e realizadas pela acionista Fundo de Capital de Risco Portugal Ventures Valor.",,Y,150000,1180000,362525,1777211,,,,96393,748129,77539,975985,224506,474719,161933,148499,286184,,,,,,
BIOSURFIT S.A.,,507503031,16,6836838,6836838,1,,,,,,,Aumento,20/03/2014,173215,realizado em dinheiro e subscrito por um accionista,,Y,150000,1180000,362525,1950426,,,,96393,748129,77539,975985,224506,474719,161933,148499,286184,,,,,,
BIOSURFIT S.A.,,507503031,17,7904303,7904303,1,,,,,,,Aumento,28/07/2014,1067465,Por incorporação de reservas.,,Y,150000,1180000,362525,2309080,,,,105723,836998,89839,1230067,284144,600824,204950,187946,362207,,,,,,
BIOSURFIT S.A.,,507503031,19,7904303,7904303,1,,"Investigação, desenvolvimento, fabricação e comercialização de produtos e equipamentos de deteção biológica.",,,,,Alteração,02/11/2015,0,,,Y,3003340,1180000,1411883,2309080,,,,,,,,,,,,,,,,,,
BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.,,505041944,1,567000,567000,1,,,72110 - Investigação e desenvolvimento em biotecnologia,,,,Aumento e Alteração,05/09/2006,125000,Realizado em dinheiro,,N,,,,,,,,,,,,,,,,,,,,,,
BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.,,505041944,2,1200000,1200000,1,"Tituladas e nominativas, podendo ser desmaterializadas ou convertidas em acções ao portador nos termos do contrato.",,,,,,Aumento,02/01/2007,633000,"Montante realizado: 383000,00 Euros, Modalidade e forma de subscrição: Realizado em dinheiro",,N,,,,,,,,,,,,,,,,,,,,,,
BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.,,505041944,3,1200000,1200000,1,,"Desenvolvimento de processos e engenharia nas fases pré­industrial e industrial, bem como a gestão e exploração de unidades industriais nas áreas das indústrias de engenharia química e da biotecnologia, podendo ainda prestar serviços de formação, inovação e consultoria científica e tecnológica no âmbito da biotecnologia industrial.",,,,,Alteração,14/01/2009,0,,,N,,,,,,,,,,,,,,,,,,,,,,
BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.,,505041944,8,1900000,1900000,1,"Tituladas e nominativas, podendo ser desmaterializadas ou convertidas em acções ao portador nos termos do contrato.",,,,,,Aumento,09/03/2016,700000,"Realizado em dinheiro, pela criação de 700.000 novas ações",,N,,,,,,,,,,,,,,,,,,,,,,
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,,507491300,1,100000,100000,1,"nominativas ou ao portador, registadas ou não, tituladas ou escriturais.","Desenvolvimento e comercialização de soluções informáticas, nomeadamente de apoio à organização e gestão de empresas e organismos. Desenvolvimento e comercialização de desenhos de páginas para a Internet. Produção e comercialização de desenho gráfico, como logotipos, cartazes, manuais de identidade empresarial. Assistência e apoio aos produtos e serviços comercializados. Formação de utilizadores de sistemas de informação em geral. Consultadoria em Sistemas de Informação.",62020 - Actividades de consultoria em informática,,,,Constituição,22/02/2006,50000,,,,,,,,,,,,,,,,,,,,,,,,,
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,,507491300,4,150000,150000,1,,,,,,,Aumento e Alteração,25/09/2013,50000,"Em dinheiro, por acionistas e um novo acionista",,,,,,,,,,,,,,,,,,,,,,,,
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,,507491300,6,188931.94,18893194,0.01,,,,,,,Aumento e Alteração,05/03/2015,38931.94,em dinheiro por dois novos accionistas,,Y,15000000,3893194,,,,,,,,,,,,,,,,,,,,
"CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.",,508559588,1,50000,50000,1,,Desenvolvimento de software,62090 - Outras actividades relacionadas com as tecnologias da informação e informática,,,,Constituição,16/06/2008,50000,"Montante realizado: 15.000,00 Euros",,Y,9000000,2487981,,,,,,,,,,,,,,,,,,,,
"CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.",,508559588,4,75000,75000,1,nominativas e podem ser tituladas ou escriturais e reciprocamente convertíveis nos termos e dentro dos limites da lei.,,,,,,Aumento,03/05/2013,25000,"em dinheiro, por um novo acionista",,N,75000,,,,,,,,,,,,,,,,,,,,,
"CELL2B - ADVANCED THERAPEUTICS, S.A.",,509687040,1,5000,4,1250; 1250; 1250; 1250;  ,,"a) Investigação e desenvolvimento experimental em biotecnologia; b) Fabrico, importação, exportação, circulação, distribuição e comercialização de produtos na área da biotecnologia, bem como a prestação de serviços nas áreas da biotecnologia e investigação médica; c) Prestação de serviços de análise, processamento, expansão, preservação, armazenamento e distribuição de células de origem humana; d) Prestação de serviços de consultoria e assessoria, a quaisquer entidades, conexos ou acessórios às actividades acima referidas.",72110 - Investigação e desenvolvimento em biotecnologia,86904 - Centros de recolha e bancos de órgãos,,,Constituição,05/01/2011,5000,,,Y,9000000,4500000,,,,,,,,,,,,,,,,,,,,
"CELL2B - ADVANCED THERAPEUTICS, S.A.",,509687040,4,30240,4,7560; 7560; 7560; 7560;,,,,,,,Aumento,19/07/2012,25240,"25.000,00 euros em prestações suplementares e 240,00 euros, em dinheiro",,Y,17286000,3325408,,,,,,,,,,,,,,,,,,,,
"CELL2B - ADVANCED THERAPEUTICS, S.A.",,509687040,5,50400,60000,0.84,nominativas e tituladas,"a) Investigação e desenvolvimento experimental em biotecnologia; b) Fabrico, importação, exportação, circulação, distribuição e comercialização de produtos na área da biotecnologia, bem como a prestação de serviços nas áreas da biotecnologia e investigação médica; c) Prestação de serviços de análise, processamento, expansão, preservação, armazenamento e distribuição de células de origem humana; d) Prestação de serviços de consultoria e assessoria, a quaisquer entidades, conexos ou acessórios às actividades acima referidas",,,,,Aumento e Alteração,06/09/2012,20160,"Em dinheiro, com a admissão de novos sócios, subscrito da seguinte forma: 7.560,00 ­ Causing Motion, Lda ­ NIPC 510325589; 6.720,00 ­ Change Partners ­SCR, S.A. ­ NIPC 502105178; 1.680,00 ­ Shilling Capital Partners, SGPS, Lda ­ NIPC 509626831; 1.680,00 ­ Vallis ­ SGPS, S.A. ­ NIPC 504125257; 840,00 ­ SharkAB ­ Consultores, Lda ­ NIPC 510211127; 840,00 ­ Biocant ­ Associação de Transferência de Tecnologia ­ NIPC 506340473; 840,00 ­ Graça Maria Alves da Cunha Coutinho ­ NIF. 122167350.",,Y,200000,60257,,,,,,,,,,,,,,,,,,,,
"CELL2B - ADVANCED THERAPEUTICS, S.A.",,509687040,8,55999.44,66666,0.84,,,,,,,Aumento,24/11/2014,5599.44,Realizado em dinheiro por uma accionista,,Y,200000,90385,,,,,,,,,,,,,,,,,,,,
"CELL2B - ADVANCED THERAPEUTICS, S.A.",,509687040,9,70598.64,84046,0.84,,,,,,,Aumento,03/12/2014,14599.2,"dinheiro, mediante a emissão de 17.380 novas ações com o valor nominal de 0,84, cada uma.",,Y,200000,120513,,,,,,,,,,,,,,,,,,,,
"CELL2B - ADVANCED THERAPEUTICS, S.A.",,509687040,10,55999.44,66666,0.84,,,,,,,Redução,21/05/2015,-14599.2,extinção de ações amortizadas,,Y,,,,,,,,,,,,,,,,,,,,,,
"CEV, S.A.",,507798961,1,5100,3,1700; 1700; 1700,quotas,Produção e comércio de bio­estimulantes e bio­fungicidas. Investigação em biotecnologia das plantas.,20152 - Fabricação de adubos orgânicos e organo-minerais,,,,Constituição,31/07/2006,5100,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"CEV, S.A.",,507798961,3,50000,500000,0.1,nominativas,Produção e comércio de bio­estimulantes e bio­fungicidas; investigação em biotecnologia das plantas.,,,,,Aumento e Alteração,20/07/2007,44900,"em dinheiro pelos sócios Ricardo Manuel de Seixas Boavida Ferreira com 14.960,00 Euros, Virgílio Borges Loureiro com 14.960,00 Euros e Sara Alexandra Valadas da Silva Monteiro com 14.960,00 Euros e pelos novos sócios Isabel Maria Canelas Guerra Boavida Ferreira NIF 178266396 com 10,00 Euros e Rui Filipe Soares de Almeida NIF 166510106 com 10,00 Euros",,Y,4314822,719149,,,,,,,,,,,,,,,,,,,,
"CEV, S.A.",,507798961,4,58572,585720,0.1,nominativas ou ao portador.,,,,,,Aumento e Alteração,24/08/2007,8572,"dinheiro, mediante a emissão de 85.720 novas acções com o valor nominal de 0.10 Euros.",,N,,,,,,,,,,,,,,,,,,,,,,
"CEV, S.A.",,507798961,5,65080,650800,0.1,,,,,,,Aumento,31/10/2008,6508,Em dinheiro por uma nova accionista.,,N,,,,,,,,,,,,,,,,,,,,,,
"CEV, S.A.",,507798961,8,71624.7,716247,0.1,,,,,,,Aumento,09/08/2013,6544.7,"Em dinheiro, pela emissão de 65.447 novas acções, subscrito por alguns accionistas",,N,,,,,,,,,,,,,,,,,,,,,,
"CEV, S.A.",,507798961,10,97620,976200,0.1,,,,,,,Aumento,31/07/2014,25995.3,"Em dinheiro, pela emissão de 259.953 novas acções",,N ,,,,,,,,,,,,,,,,,,,,,,
"CHIC BY CHOICE, S.A.",,510985530,1,114879.81,11487981,0.01,nominativas,"Serviço de venda, aluguer, representação, importação e exportação de produtos de moda, através do canal Internet. Prestação de serviços de consultoria de imagem e marketing relacional.",47910 - Comércio a retalho por correspondência ou via Internet,,,,Constituição,21/02/2014,114879.81,,,Y,9000000,2487981,,,,,,,,,,,,,,,,,,,,
"CHIC BY CHOICE, S.A.",,510985530,2,101899.04,10189904,0.01,,,,,,,Redução,10/02/2015,12980.77,Amortização de acções da categoria A,,Y,9000000,,,,,,,,,,,,,,,,,,,,,
"CHIC BY CHOICE, S.A.",,510985530,2,135000,13500000,0.01,,,,,,,Aumento,10/02/2015,33100.96,"em dinheiro por atuais accionistas e por um novo accionista, mediante a emissão de 3.310.096 novas acções da categoria A com o valor nominal de 0,01 cada uma.",,Y,9000000,4500000,,,,,,,,,,,,,,,,,,,,
"CONVERDE, S.A.",,509720765,1,5000,1,5000,,Produção e comércio de bio­estimulantes e bio­fungicidas.,20152 - Fabricação de adubos orgânicos e organo-minerais,,,,Constituição,21/01/2011,5000,,,Y,5000000,916600,,,,,,,,,,,,,,,,,,,,
"CONVERDE, S.A.",,509720765,3,50000,5000000,0.01,"nominativas ou ao portador, reciprocamente convertíveis, podendo ser representadas por títulos de uma, cinco ou multiplos de cinco acções",,,,,,Aumento e Alteração,14/08/2012,45000,integralmente realizado em dinheiro pela sócia única.,,Y,5000000,2494210,,,,,,,,,,,,,,,,,,,,
"CONVERDE, S.A.",,509720765,4,62500,6250000,0.01,,,,,,,Aumento,05/09/2012,12500,"por entradas em dinheiro através da emissão de 1.250.000 novas acções ordinárias com o valor nominal de 0,01 Euros",,Y,6250000,2494210,,,,,,,,,,,,,,,,,,,,
CRITICAL LINKS S.A.,,507610830,1,50000,10000,5,Ao portador,Desenvolvimento e integração de software e hardware para sistemas de redes e comunicações e prestação de serviços conexos,58290 - Edição de outros programas informáticos,,,,Constituição,06/04/2006,50000,,,N,,,,,,,,,,,,,,,,,,,,,,
CRITICAL LINKS S.A.,,507610830,2,488965,97793,5,,,,,,,Aumento,21/02/2007,438965,Pela transmissão global dos direitos patrimoniais de autor do Software Edgebox e do Software Items­ dois programas de computador e respectivas marcas,,N,,,,,,,,,,,,,,,,,,,,,,
CRITICAL LINKS S.A.,,507610830,4,1562500,312500,5,,,,,,,Aumento e Alteração,13/09/2007,312500,"Em dinheiro, pelos accionistas",,N,,,,,,,,,,,,,,,,,,,,,,
CRITICAL LINKS S.A.,,507610830,5,1875000,375000,5,,,,,,,Aumento,05/10/2007,312500,"em dinheiro, subscrito integralmente por novos accionistas",,N,,,,,,,,,,,,,,,,,,,,,,
CRITICAL LINKS S.A.,,507610830,6,2663225,532645,5,nominativas,,,,,,Aumento,10/09/2009,788225,"Realizado quanto a 208 350,00 Euros por incorporação de reservas e quanto a 579 875,00 Euros em dinheiro subscrito por accionistas.",,N,,,,,,,,,,,,,,,,,,,,,,
"CSIDE - SOLUÇÕES INTELIGENTES, S.A.",,507997476,1,425000,425000,1,nominativas.,"Desenvolvimento e execução de projectos e aplicações, nomeadamente nas áreas de informática, domótica, segurança e vigilância, bem como de engenharia; importação, exportação, representação, comercialização, instalação e assistência técnica de equipamentos eléctricos e electrónicos, automatismos, equipamentos audiovisuais, equipamentos e programas informáticos. Consultoria, nomeadamente na área da informática.",62020 - Actividades de consultoria em informática,,,,Constituição,21/01/2008,425000,,,N,,,,,,,,,,,,,,,,,,,,,,
"CSIDE - SOLUÇÕES INTELIGENTES, S.A.",,507997476,2,625000,625000,1,,,,,,,Aumento,12/01/2009,200000,em dinheiro,,N,,,,,,,,,,,,,,,,,,,,,,
"CSIDE - SOLUÇÕES INTELIGENTES, S.A.",,507997476,3; 4,825000,825000,1,nominativas e tituladas.,,,,,,Aumento,17/12/2009,200000,"O capital social encontra-se integralmente realizado em dinheiro, exceptuando o capital relativo a 200.000 (duzentas mil) acções, que será realizado pelos seus titulares por entrada em espécie.",,N,,,,,,,,,,,,,,,,,,,,,,
"CSIDE - SOLUÇÕES INTELIGENTES, S.A.",,507997476,5,925000,925000,1,,,,,,,Aumento,06/08/2010,100000,em dinheiro,,N,,,,,,,,,,,,,,,,,,,,,,
"D-ORBIT PT, LDA",,513017992,1,5000,2,4900; 100,quotas,"Design, engenharia, investigação, consultoria, formação, desenvolvimento, produção, marketing, aluguer e assistência técnica a equipamento automático e semi­automático, componentes eléctricos e electrónicos, software e plataformas de internet e sistemas de propulsão e controlo para indústria aerospacial.",CAE: 72190 - OUTRA INVESTIGAÇÃO E DESENVOLVIMENTO DAS CIÊNCIAS FÍSICAS E NATURAIS,,,,Constituição,31/03/2014,5000,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"DISPLAX, S.A.",,505046857,1,97170,19434,5,,,26200 - Fabricação de computadores e de equipamento periférico,62010 - Actividades de programação informática,,,Aumento e Alteração,23/07/2008,47170,Em dinheiro mediante a emissão de 9434 novas acções,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"DISPLAX, S.A.",,505046857,2,97170,19434,5,,"Exercício de actividades de concepção e gestão de produtos digitais; Fabricação e/ou montagem de computadores, tais como mainframes, computadores pessoais, computadores portáteis e servidores, de equipamentos periféricos tais como unidades de memória (discos magnéticos, flash drives e outras unidades de memória), discos ópticos, impressoras, monitores, teclados, ratos, traçadores, incluindo scanners de código de barras, leitores de cartões inteligentes, projectores de computadores, incluindo equipamento multifuncional para escritório, que execute uma ou mais das seguintes funções: impressão, scanning, fotocópia e fax; Desenvolvimento e assemblagem de soluções interactivas",,,,,Alteração,04/03/2009,0,,,N,,,,,,,,,,,,,,,,,,,,,,
"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",,509221785,1,5000,1,5000,quotas,"Fabrico, comércio, instalação, importação e exportação de equipamentos e matérias primas de energias renováveis, equipamento industrial, equipamento sanitário, acessórios e assistência técnica. Desenvolvimento e investigação científica, nomeadamente na áreas das novas tecnologias. Actividades de engenharia.",43221 - Instalação de canalizações,,,,Constituição,12/11/2009,5000,,,,,,,,,,,,,,,,,,,,,,,,,
"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",,509221785,3,60000,5,"44000; 6000;6000; 2000, 2000",,,,,,,Aumento e Alteração,08/07/2011,55000,"Em dinheiro, subscrito pelos sócios quanto a 43.000,00 euros pelo sócio José Alberto Garcia Meliço; 5.000,00 euros pelo sócio Fernanda Antónia Josefa LLussa; 5.000,00 euros pelo sócio Fernando Ignacio Ponte Fernandez; quanto a 1.000,00 euros pelo sócio Cidália da Conceição Lourenço Dias Matias e quanto a 1.000,00 euros pelo sócio David das Neves Silva",,Categorias: A e B.,,,,,,,,,,,,,,,,,,,,,,
"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",,509221785,5,60000,12000,5,nominativas ou ao portador,,,,,,Alteração,29/12/2011,0,,,Y,,,50000,,,,,,,,,,,,,,,,,,,
"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",,509221785,6,150000,30000,5,tituladas e nominativas,,,,,,Aumento,28/03/2012,90000,numerário,,Y,,,,,,,,,,,,,,,,,,,,,,
"ENEIDA, WIRELESS & SENSORS, S.A.",,510097600,1,393750,78750,5,nominativas,"Investigação e desenvolvimento, produção, comercialização, projecto, instalação, operação e manutenção de sistemas e equipamentos nas áreas de electrónica, electricidade, instrumentação,",26300 - Fabricação de aparelhos e de equipamentos para comunicações,43210 - Instalação eléctrica,33120 - Reparação e manutenção de máquinas e equipamentos,,Constituição,10/02/2012,393750,,,N,,,,,,,,,,,,,,,,,,,,,,
"ENEIDA, WIRELESS & SENSORS, S.A.",,510097600,2,450000,90000,5,,,,,,,Aumento,05/04/2012,56250,"Em dinheiro, mediante a emissão de 11.250 novas ações",,N,,,,,,,,,,,,,,,,,,,,,,
"EXAGO VENTURES, S.A.",,508354684,1,5000,3,3500; 1250; 250,quotas,"A prestação de serviços de suporte à decisão e aos processos de inovação, dirigidos a empresas e ao público em geral, com especial enfoque nos temas de gestão de ideias, avaliação de conceitos, novos mercados e predição de eventos futuros, incluíndo o desenvolvimento e licenciamento de software relacionado.",70220 - Outras actividades de consultoria para os negócios e a gestão,,,,Constituição,19/11/2007,5000,,,,,,,,,,,,,,,,,,,,,,,,,
"EXAGO VENTURES, S.A.",,508354684,3,5000,3,2746.88; 1666.66; 586.46,,,,,,,Alteração,01/10/2009,0,,,,,,N,,,,,,,,,,,,,,,,,,,
"EXAGO VENTURES, S.A.",,508354684,4,50000,5000000,0.01,"Tituladas ou escriturais, sendo obrigatóriamente nominativas.",,,,,,Aumento e Alteração,06/05/2010,45000,Realizado por incorporação de reservas livres subscrito na proporção das quotas pelos actuais sócios e ainda pela admissão de duas novas sócias.,,,,,N,,,,,,,,,,,,,,,,,,,
"EXAGO VENTURES, S.A.",,508354684,6,62500,6250000,0.01,,,,,,,Aumento,17/05/2010,12500,Em numerário com o qual são criadas 1.250.000 acções.,,,,,N,,,,,,,,,,,,,,,,,,,
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,508771862,1,5000.01,3,1666.67; 1666.67; 1666.67,quotas,"Desenvolvimento de actividades de análise, concepção e programação de sistemas prontos a utulizar, o que pressupõe, por regra, com vista a determinar a melhor solução e produzir os programas informáticos adequados a cada caso, a análise das necessidades e dos problemas dos utilizadores, o que inclui modificações de programação, fornecimento de programas e concepção de páginas Web, feitos numa base de encomenda.Compreende ainda as actividades relativas às bases de dados (preparação e recolha de dados, armazenagem de dados e preparação de registos informáticos para essa informação, num formato predeterminado; disponibilização de dados estatísticos, económicos, financeiros, ou de outra natureza, de acesso gerel pu limitado, para consulta ou extracção de dados) e a edição de conteúdos em contínuo de unidades cuja actividade exclusiva é a edição de conteúdos em contínuo, o que inclui bases de dados, listas de endereços, livros só publicados por via on­line e de outras actividades de edição em contínuo, incluindo ainda os portais de pesquisa web, lugares (sites) de pesquisa, de jogos e de entretenimento via Internet, a que acresce a comercialização de bens e ",62010 - Actividades de programação informática,,,,Constituição,28/11/2008,5000.01,,,,,,,,,,,,,,,,,,,,,,,,,
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,508771862,6,51000,5100000,0.01,nominativas,,,,,,Aumento e Alteração,12/04/2011,45999.99,"28.536,75 euros por incorporação de reservas livres e 17.463,24 euros em monetário, sendo 9.512,25 euros por incorporação de reservas e 5.721,08 euros em dinheiro, por cada um dos sócios para reforço das respectivas quotas e pela entrada de duas novas sócias Lúcia Maria Rodrigues Figueiredo e Ana Júlia Ribeiro Magalhães Bizarro, cada uma com 150 euros.",,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,508771862,7,68307.69,6830769,0.01,,,,,,,Aumento ,06/06/2011,17307.69,"em dinheiro, mediante a emissão de 17307,69 novas acções, no valor nominal de 0,01 euro cada.",,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,508771862,8,73500,7350000,0.01,nominativas,,,,,,Aumento,12/09/2011,5192.31,realizado em dinheirio e subscrito por uma nova acionista.,,,,,,,,,,,,,,,,,,,,,,,,
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,508771862,9,90000,9000000,0.01,,,,,,,Aumento,17/07/2012,16500,"em dinheiro por alguns acionistas, mediante a emissão de 1.650.000 novas acões com o valor nominal de 0,01 euros",,N,,,,,,,,,,,,,,,,,,,,,,
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,508771862,10,108067.5,10806750,0.01,,,,,,,Aumento,29/01/2013,18067.5,"em dinheiro pelos atuais acionistas, à exceção de um, e por 2 novos acionistas, mediante a emissão de 1.806.750 novas ações da categoria A­1 com o valor nominal de 0,01 euro cada uma",,,,,,,,,,,,,,,,,,,,,,,,
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,508771862,11,,,,,,,,,,EMISSÃO DE WARRANTS,04/06/2014,,,,,,,,,,,,,,,,,,,,,,,450000,450,,1000
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,508771862,12,,,,,,,,,,EMISSÃO DE WARRANTS AUTÓNOMOS SOBRE VALORES MOBILIÁRIOS PRÓPRIOS,04/06/2014,,,,,,,,,,,,,,,,,,,,,,,500698.03,1.33,uma ação ordinária da Sociedade por Warrant.,377274
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,508771862,13,149295.46,14929546,0.01,nominativas,,,,,,Aumento e Alteração,04/06/2014,41227.96,"por entradas em dinheiro, mediante a emissão de 3 488520 acções de categoria B e 634276 acções de categoria B­1",,,,,,,,,,,,,,,,,,,,,,,,
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,508771862,14,,,,,,,,,,EMISSÃO DE WARRANTS AUTÓNOMOS SOBRE VALORES MOBILIÁRIOS PRÓPRIOS,02/07/2015,,,,Y,12616800,3836207,,,,,,,,,,,,,,,,,773301.97,1.33,uma ação ordinária da Sociedade por Warrant.,58268
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,508771862,15,,,,,,,,,,EMISSÃO DE OBRIGAÇÕES REALIZADA POR OFERTA PARTICULAR,02/07/2015,,,,,,,,,,,,,,,,,,,,,,,1050000,1000,,
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,508771862,16,,,,,,,,,,EMISSÃO DE WARRANTS,07/08/2015,,"Montante da emissão : 25129.00 Euros, Número de warrants a emitir: 50.258; Valor nominal de cada warrant: 0.50 Eur",,,,,,,,,,,,,,,,,,,,,2512900,0.5,,50258
